"yearid","name","w","attendance"
1993,"Cincinnati Reds",73,2454428
1993,"Boston Red Sox",80,2422054
1993,"New York Yankees",88,2416837
1993,"Texas Rangers",86,2252616
1993,"Cleveland Indians",76,2177908
1993,"Houston Astros",85,2081506
1993,"California Angels",71,2063049
1993,"Minnesota Twins",71,2054523
1993,"Seattle Mariners",82,2052425
1993,"Oakland Athletics",68,2029063
1993,"Detroit Tigers",85,1971401
1993,"Kansas City Royals",84,1941889
1993,"New York Mets",59,1873115
1993,"Milwaukee Brewers",69,1695077
1993,"Pittsburgh Pirates",75,1652922
1993,"Montreal Expos",94,1641438
1993,"San Diego Padres",61,1375432
1992,"Toronto Blue Jays",96,4028318
1992,"Baltimore Orioles",89,3569534
1992,"Atlanta Braves",98,3077400
1992,"Chicago White Sox",86,2681156
1992,"Oakland Athletics",96,2494160
1992,"Minnesota Twins",90,2482188
1992,"Los Angeles Dodgers",63,2473366
1992,"Boston Red Sox",73,2469489
1992,"St. Louis Cardinals",83,2418483
1992,"Cincinnati Reds",90,2315946
1992,"Texas Rangers",77,2198231
1992,"Chicago Cubs",78,2126720
1992,"California Angels",72,2065434
1992,"Philadelphia Phillies",70,1927448
1992,"Kansas City Royals",72,1867689
1992,"Milwaukee Brewers",92,1857351
1992,"Pittsburgh Pirates",96,1834523
1992,"New York Mets",72,1779534
1992,"New York Yankees",76,1748737
1992,"Montreal Expos",87,1731566
1992,"San Diego Padres",82,1721406
1992,"Seattle Mariners",64,1651367
1992,"San Francisco Giants",72,1561218
1992,"Detroit Tigers",75,1423963
1992,"Cleveland Indians",76,1224274
1992,"Houston Astros",81,1211348
1991,"Toronto Blue Jays",91,4001526
1991,"Los Angeles Dodgers",93,3346630
1991,"Chicago White Sox",87,2968154
1991,"Oakland Athletics",84,2713193
1991,"Boston Red Sox",84,2595356
1991,"Baltimore Orioles",67,2551102
1991,"St. Louis Cardinals",84,2449537
1991,"California Angels",81,2416146
1991,"Cincinnati Reds",74,2372377
1991,"Chicago Cubs",77,2311520
1991,"Texas Rangers",85,2297718
1991,"Minnesota Twins",95,2293842
1991,"New York Mets",77,2263729
1991,"Kansas City Royals",82,2161527
1991,"Atlanta Braves",94,2140217
1991,"Seattle Mariners",83,2109966
1991,"Pittsburgh Pirates",98,2073028
1991,"Philadelphia Phillies",78,2049958
1991,"New York Yankees",71,1863729
1991,"San Diego Padres",84,1803929
1991,"San Francisco Giants",75,1737489
1991,"Detroit Tigers",84,1659472
1991,"Milwaukee Brewers",83,1478814
1991,"Houston Astros",65,1196152
1991,"Cleveland Indians",57,1051863
1991,"Montreal Expos",71,978045
1990,"Toronto Blue Jays",86,3884384
1990,"Los Angeles Dodgers",86,3002950
1990,"Oakland Athletics",103,2903203
1990,"New York Mets",91,2733555
1990,"St. Louis Cardinals",70,2573275
1990,"California Angels",80,2558640
1990,"Boston Red Sox",88,2512898
1990,"Baltimore Orioles",76,2420997
1990,"Cincinnati Reds",91,2407563
1990,"Kansas City Royals",75,2244536
1990,"Chicago Cubs",77,2243394
1990,"Texas Rangers",83,2057917
1990,"Pittsburgh Pirates",95,2051806
1990,"New York Yankees",67,2006436
1990,"Chicago White Sox",94,2002359
1990,"San Francisco Giants",85,2001105
1990,"Philadelphia Phillies",77,1992124
1990,"San Diego Padres",75,1894172
1990,"Milwaukee Brewers",74,1775008
1990,"Minnesota Twins",74,1754348
1990,"Seattle Mariners",77,1509714
1990,"Detroit Tigers",79,1470157
1990,"Montreal Expos",85,1421391
1990,"Houston Astros",75,1313560
1990,"Cleveland Indians",77,1228031
1990,"Atlanta Braves",65,1009748
1989,"St. Louis Cardinals",86,3099147
1989,"Los Angeles Dodgers",77,2943833
1989,"New York Mets",87,2916960
1989,"Oakland Athletics",99,2671641
1989,"California Angels",91,2644233
1989,"Toronto Blue Jays",89,2628122
1989,"Baltimore Orioles",87,2539245
1989,"Boston Red Sox",83,2512069
1989,"Chicago Cubs",93,2491932
1989,"Kansas City Royals",92,2475368
1989,"Minnesota Twins",80,2279508
1989,"New York Yankees",74,2196200
1989,"San Diego Padres",89,2108158
1989,"San Francisco Giants",92,2080296
1989,"Texas Rangers",83,2042604
1989,"Cincinnati Reds",75,1979440
1989,"Milwaukee Brewers",81,1974300
1989,"Houston Astros",86,1863215
1989,"Philadelphia Phillies",67,1861985
1989,"Montreal Expos",81,1789073
1989,"Detroit Tigers",59,1543620
1989,"Pittsburgh Pirates",74,1374421
1989,"Seattle Mariners",73,1295433
1989,"Cleveland Indians",73,1285635
1989,"Chicago White Sox",69,1045646
1989,"Atlanta Braves",63,1034808
1989,"Toronto Blue Jays",89,748571
1988,"New York Mets",100,3048530
1988,"Minnesota Twins",91,3029999
1988,"Los Angeles Dodgers",94,2980262
1988,"St. Louis Cardinals",76,2892089
1988,"New York Yankees",85,2633633
1988,"Toronto Blue Jays",87,2595275
1988,"Boston Red Sox",89,2463339
1988,"Kansas City Royals",84,2349181
1988,"California Angels",75,2340905
1988,"Oakland Athletics",104,2287446
1988,"Chicago Cubs",77,2088534
1988,"Detroit Tigers",88,2081102
1988,"Cincinnati Reds",87,2062528
1988,"Philadelphia Phillies",65,1990042
1988,"Houston Astros",82,1933635
1988,"Milwaukee Brewers",87,1928238
1988,"Pittsburgh Pirates",85,1865713
1988,"San Francisco Giants",83,1786482
1988,"Baltimore Orioles",54,1660738
1988,"Texas Rangers",70,1582084
1988,"San Diego Padres",83,1508563
1988,"Montreal Expos",81,1478659
1988,"Cleveland Indians",78,1421790
1988,"Chicago White Sox",71,1115655
1988,"Seattle Mariners",68,1020354
1988,"Atlanta Braves",54,848097
1987,"St. Louis Cardinals",95,3073131
1987,"New York Mets",92,3027121
1987,"Los Angeles Dodgers",73,2800409
1987,"Toronto Blue Jays",96,2778459
1987,"California Angels",75,2696208
1987,"New York Yankees",89,2427702
1987,"Kansas City Royals",83,2392471
1987,"Boston Red Sox",78,2231649
1987,"Cincinnati Reds",84,2185205
1987,"Philadelphia Phillies",80,2100110
1987,"Minnesota Twins",85,2082203
1987,"Detroit Tigers",98,2061830
1987,"Chicago Cubs",76,2035202
1987,"Houston Astros",76,1920997
1987,"San Francisco Giants",90,1917863
1987,"Milwaukee Brewers",91,1908784
1987,"Montreal Expos",91,1850324
1987,"Baltimore Orioles",67,1845251
1987,"Texas Rangers",75,1763749
1987,"Oakland Athletics",81,1678922
1987,"San Diego Padres",65,1454101
1987,"Atlanta Braves",69,1217403
1987,"Chicago White Sox",77,1208070
1987,"Pittsburgh Pirates",80,1161193
1987,"Seattle Mariners",78,1133010
1987,"Cleveland Indians",61,1076898
1986,"Los Angeles Dodgers",73,3033208
1986,"New York Mets",108,2762417
1986,"California Angels",92,2655459
1986,"St. Louis Cardinals",79,2498142
1986,"Toronto Blue Jays",86,2455477
1986,"Kansas City Royals",76,2320764
1986,"New York Yankees",90,2268186
1986,"Boston Red Sox",95,2146694
1986,"Baltimore Orioles",73,1973222
1986,"Philadelphia Phillies",86,1918623
1986,"Detroit Tigers",87,1899437
1986,"Chicago Cubs",70,1859102
1986,"San Diego Padres",74,1805776
1986,"Houston Astros",96,1734266
1986,"Cincinnati Reds",86,1692432
1986,"Texas Rangers",87,1692021
1986,"San Francisco Giants",83,1532385
1986,"Cleveland Indians",84,1470977
1986,"Chicago White Sox",72,1424017
1986,"Atlanta Braves",72,1387152
1986,"Oakland Athletics",76,1314646
1986,"Milwaukee Brewers",77,1265041
1986,"Minnesota Twins",71,1256566
1986,"Montreal Expos",78,1125164
1986,"Seattle Mariners",67,1028223
1986,"Pittsburgh Pirates",64,1014629
1985,"Los Angeles Dodgers",95,3264683
1985,"New York Mets",98,2751237
1985,"St. Louis Cardinals",101,2661465
1985,"California Angels",90,2567787
1985,"Toronto Blue Jays",99,2468925
1985,"Detroit Tigers",84,2286610
1985,"New York Yankees",97,2214587
1985,"San Diego Padres",83,2210352
1985,"Kansas City Royals",91,2162715
1985,"Chicago Cubs",77,2161534
1985,"Baltimore Orioles",83,2137434
1985,"Cincinnati Reds",89,1834619
1985,"Philadelphia Phillies",75,1830350
1985,"Boston Red Sox",81,1786463
1985,"Chicago White Sox",85,1669970
1985,"Minnesota Twins",77,1652063
1985,"Montreal Expos",84,1502494
1985,"Milwaukee Brewers",71,1359995
1985,"Atlanta Braves",66,1350047
1985,"Oakland Athletics",77,1334627
1985,"Houston Astros",83,1184383
1985,"Seattle Mariners",74,1127603
1985,"Texas Rangers",62,1112461
1985,"San Francisco Giants",62,818697
1985,"Pittsburgh Pirates",57,735900
1985,"Cleveland Indians",60,655181
1984,"Los Angeles Dodgers",79,3134824
1984,"Detroit Tigers",104,2704794
1984,"California Angels",81,2402997
1984,"Chicago White Sox",74,2135827
1984,"Toronto Blue Jays",89,2110009
1984,"Chicago Cubs",96,2108055
1984,"Philadelphia Phillies",81,2062966
1984,"St. Louis Cardinals",84,2059347
1984,"Baltimore Orioles",85,2037206
1984,"San Diego Padres",92,1984953
1984,"New York Mets",90,1829481
1984,"New York Yankees",87,1823496
1984,"Kansas City Royals",84,1810018
1984,"Atlanta Braves",80,1724891
1984,"Boston Red Sox",86,1660551
1984,"Montreal Expos",78,1623419
1984,"Milwaukee Brewers",67,1608509
1984,"Minnesota Twins",81,1598373
1984,"Oakland Athletics",77,1353281
1984,"Cincinnati Reds",70,1270073
1984,"Houston Astros",80,1230579
1984,"Texas Rangers",69,1102430
1984,"San Francisco Giants",66,1001551
1984,"Seattle Mariners",74,869874
1984,"Pittsburgh Pirates",75,773195
1984,"Cleveland Indians",75,731378
1983,"Los Angeles Dodgers",91,3509313
1983,"California Angels",70,2555376
1983,"St. Louis Cardinals",79,2343669
1983,"Montreal Expos",82,2320556
1983,"Milwaukee Brewers",87,2266725
1983,"New York Yankees",91,2249688
1983,"Chicago White Sox",99,2132813
1983,"Philadelphia Phillies",90,2128345
1983,"Atlanta Braves",88,2116740
1983,"Baltimore Orioles",98,2036397
1983,"Kansas City Royals",79,1963886
1983,"Toronto Blue Jays",89,1930277
1983,"Detroit Tigers",92,1786900
1983,"Boston Red Sox",78,1780794
1983,"San Diego Padres",81,1544736
1983,"Chicago Cubs",71,1483702
1983,"Texas Rangers",77,1362314
1983,"Houston Astros",85,1352942
1983,"Oakland Athletics",74,1294941
1983,"San Francisco Giants",79,1256098
1983,"Pittsburgh Pirates",84,1227449
1983,"Cincinnati Reds",74,1192882
1983,"New York Mets",68,1099876
1983,"Minnesota Twins",70,868272
1983,"Seattle Mariners",60,808037
1983,"Cleveland Indians",70,768937
1982,"Los Angeles Dodgers",88,3608881
1982,"California Angels",93,2807360
1982,"Philadelphia Phillies",89,2374711
1982,"Montreal Expos",86,2319792
1982,"Kansas City Royals",90,2279464
1982,"St. Louis Cardinals",92,2111922
1982,"New York Yankees",79,2041219
1982,"Milwaukee Brewers",95,1978815
1982,"Boston Red Sox",89,1954038
1982,"Atlanta Braves",89,1800376
1982,"Oakland Athletics",68,1738658
1982,"Detroit Tigers",83,1636058
1982,"San Diego Padres",81,1617391
1982,"Baltimore Orioles",94,1613685
1982,"Chicago White Sox",87,1567787
1982,"Houston Astros",77,1560396
1982,"Cincinnati Reds",61,1340706
1982,"New York Mets",65,1320469
1982,"Toronto Blue Jays",78,1275908
1982,"Chicago Cubs",73,1250410
1982,"San Francisco Giants",87,1228846
1982,"Texas Rangers",64,1154432
1982,"Seattle Mariners",76,1070387
1982,"Cleveland Indians",78,1044041
1982,"Pittsburgh Pirates",84,1026477
1982,"Minnesota Twins",60,921186
1981,"Los Angeles Dodgers",63,2382579
1981,"Philadelphia Phillies",59,1638914
1981,"New York Yankees",59,1614482
1981,"Montreal Expos",60,1534663
1981,"California Angels",51,1441545
1981,"Houston Astros",61,1321222
1981,"Oakland Athletics",64,1298105
1981,"Kansas City Royals",50,1279440
1981,"Detroit Tigers",60,1149744
1981,"Cincinnati Reds",66,1111107
1981,"Boston Red Sox",59,1060659
1981,"Baltimore Orioles",59,1024831
1981,"St. Louis Cardinals",59,1010247
1981,"Chicago White Sox",54,944701
1981,"Milwaukee Brewers",62,878482
1981,"Texas Rangers",57,853032
1981,"Toronto Blue Jays",37,755083
1981,"New York Mets",41,701910
1981,"Cleveland Indians",52,662417
1981,"Seattle Mariners",44,636276
1981,"San Francisco Giants",56,632274
1981,"Chicago Cubs",38,565615
1981,"San Diego Padres",41,559711
1981,"Pittsburgh Pirates",46,549369
1981,"Atlanta Braves",50,534107
1981,"Minnesota Twins",41,469090
1980,"Los Angeles Dodgers",92,3248887
1980,"Philadelphia Phillies",91,2658957
1980,"New York Yankees",103,2627417
1980,"Houston Astros",93,2308092
1980,"California Angels",65,2297327
1980,"Kansas City Royals",97,2290056
1980,"Montreal Expos",90,2185122
1980,"Cincinnati Reds",89,2031596
1980,"Boston Red Sox",83,1956110
1980,"Milwaukee Brewers",86,1865583
1980,"Baltimore Orioles",100,1805020
1980,"Detroit Tigers",84,1785360
1980,"Pittsburgh Pirates",83,1641757
1980,"Toronto Blue Jays",67,1400327
1980,"St. Louis Cardinals",74,1399755
1980,"Chicago White Sox",70,1212873
1980,"Chicago Cubs",64,1204582
1980,"Texas Rangers",76,1198165
1980,"New York Mets",67,1178738
1980,"San Diego Padres",73,1152438
1980,"San Francisco Giants",75,1098130
1980,"Atlanta Braves",81,1048352
1980,"Cleveland Indians",79,1036352
1980,"Oakland Athletics",83,842319
1980,"Seattle Mariners",59,837886
1980,"Minnesota Twins",77,769206
1979,"Los Angeles Dodgers",79,2860954
1979,"Philadelphia Phillies",84,2774849
1979,"New York Yankees",89,2543848
1979,"California Angels",88,2523575
1979,"Cincinnati Reds",90,2356933
1979,"Boston Red Sox",91,2353125
1979,"Kansas City Royals",85,2261845
1979,"Montreal Expos",95,2102153
1979,"Milwaukee Brewers",95,1918893
1979,"Houston Astros",89,1915449
1979,"Baltimore Orioles",102,1680427
1979,"Chicago Cubs",80,1656343
1979,"Detroit Tigers",85,1630939
1979,"St. Louis Cardinals",86,1628406
1979,"Texas Rangers",83,1519672
1979,"San Francisco Giants",71,1483812
1979,"San Diego Padres",68,1457147
1979,"Pittsburgh Pirates",98,1435427
1979,"Toronto Blue Jays",53,1431659
1979,"Chicago White Sox",73,1280702
1979,"Minnesota Twins",82,1070621
1979,"Cleveland Indians",81,1011744
1979,"Seattle Mariners",67,844450
1979,"New York Mets",63,788764
1979,"Atlanta Braves",66,768737
1979,"Oakland Athletics",54,306763
1978,"Los Angeles Dodgers",95,3347803
1978,"Philadelphia Phillies",90,2582409
1978,"Cincinnati Reds",92,2532497
1978,"New York Yankees",100,2424399
1978,"Boston Red Sox",99,2320210
1978,"Kansas City Royals",92,2255493
1978,"California Angels",87,1755386
1978,"San Francisco Giants",89,1738855
1978,"Detroit Tigers",86,1714843
1978,"San Diego Padres",84,1669349
1978,"Milwaukee Brewers",93,1581834
1978,"Toronto Blue Jays",59,1562509
1978,"Chicago Cubs",79,1495983
1978,"Chicago White Sox",71,1491100
1978,"Texas Rangers",87,1447963
1978,"Montreal Expos",76,1427181
1978,"St. Louis Cardinals",69,1278221
1978,"Houston Astros",74,1128233
1978,"Baltimore Orioles",90,1033755
1978,"New York Mets",66,1007867
1978,"Pittsburgh Pirates",88,964106
1978,"Atlanta Braves",69,875902
1978,"Seattle Mariners",56,866906
1978,"Cleveland Indians",69,807123
1978,"Minnesota Twins",73,787880
1978,"Oakland Athletics",69,527017
1977,"Los Angeles Dodgers",98,2945087
1977,"Philadelphia Phillies",101,2699750
1977,"Cincinnati Reds",88,2526031
1977,"New York Yankees",100,2316023
1977,"Boston Red Sox",97,2074549
1977,"Kansas City Royals",102,1889574
1977,"Toronto Blue Jays",54,1794651
1977,"Chicago White Sox",90,1680296
1977,"St. Louis Cardinals",83,1658282
1977,"Chicago Cubs",81,1440753
1977,"Montreal Expos",75,1437190
1977,"California Angels",74,1435133
1977,"Detroit Tigers",74,1410065
1977,"San Diego Padres",69,1375269
1977,"Seattle Mariners",64,1350601
1977,"Texas Rangers",94,1274962
1977,"Baltimore Orioles",97,1257033
1977,"Pittsburgh Pirates",96,1237359
1977,"Minnesota Twins",84,1162727
1977,"Milwaukee Brewers",67,1141774
1977,"Houston Astros",81,1099580
1977,"New York Mets",64,1062782
1977,"Cleveland Indians",71,920869
1977,"Atlanta Braves",61,871526
1977,"San Francisco Giants",75,696654
1977,"Oakland Athletics",63,504765
1976,"Cincinnati Reds",102,2629708
1976,"Philadelphia Phillies",101,2480016
1976,"Los Angeles Dodgers",92,2386301
1976,"New York Yankees",97,2017932
1976,"Boston Red Sox",83,1895885
1976,"Kansas City Royals",90,1679160
1976,"Detroit Tigers",74,1471533
1976,"New York Mets",86,1470364
1976,"San Diego Padres",73,1458478
1976,"St. Louis Cardinals",72,1200323
1976,"Texas Rangers",76,1161682
1976,"Baltimore Orioles",88,1058792
1976,"Chicago Cubs",75,1026785
1976,"Pittsburgh Pirates",92,1025952
1976,"Milwaukee Brewers",66,1011399
1976,"California Angels",76,1006774
1976,"Cleveland Indians",81,949821
1976,"Chicago White Sox",64,914942
1976,"Houston Astros",80,886622
1976,"Atlanta Braves",70,817947
1976,"Oakland Athletics",87,780945
1976,"Minnesota Twins",85,715394
1976,"Montreal Expos",55,646698
1976,"San Francisco Giants",74,625382
1975,"Los Angeles Dodgers",88,2552103
1975,"Cincinnati Reds",108,2315603
1975,"Philadelphia Phillies",86,1908969
1975,"Boston Red Sox",95,1748518
1975,"New York Mets",82,1730766
1975,"St. Louis Cardinals",82,1695034
1975,"New York Yankees",83,1288046
1975,"San Diego Padres",71,1281747
1975,"Pittsburgh Pirates",92,1270013
1975,"Milwaukee Brewers",68,1213363
1975,"Kansas City Royals",91,1151805
1975,"Texas Rangers",79,1127663
1975,"Oakland Athletics",98,1077597
1975,"California Angels",72,1058103
1975,"Detroit Tigers",57,1038439
1975,"Chicago Cubs",75,1034819
1975,"Baltimore Orioles",90,1002125
1975,"Cleveland Indians",79,977056
1975,"Montreal Expos",75,908202
1975,"Houston Astros",64,857444
1975,"Chicago White Sox",75,770802
1975,"Minnesota Twins",76,737156
1975,"Atlanta Braves",67,534552
1975,"San Francisco Giants",80,522902
1974,"Los Angeles Dodgers",102,2629474
1974,"Cincinnati Reds",98,2134250
1974,"St. Louis Cardinals",86,1838413
1974,"Philadelphia Phillies",80,1792067
1974,"New York Mets",71,1727328
1974,"Boston Red Sox",84,1558391
1974,"New York Yankees",89,1290480
1974,"Detroit Tigers",72,1245346
1974,"Texas Rangers",84,1193867
1974,"Kansas City Royals",77,1174292
1974,"Chicago White Sox",80,1166453
1974,"Cleveland Indians",77,1111450
1974,"Pittsburgh Pirates",88,1110737
1974,"Houston Astros",81,1093105
1974,"San Diego Padres",60,1075471
1974,"Montreal Expos",79,1019132
1974,"Chicago Cubs",66,1015378
1974,"Atlanta Braves",88,981083
1974,"Baltimore Orioles",91,962620
1974,"Milwaukee Brewers",76,938822
1974,"California Angels",68,905399
1974,"Oakland Athletics",90,836662
1974,"Minnesota Twins",82,667511
1974,"San Francisco Giants",72,519991
1973,"Los Angeles Dodgers",95,2139452
1973,"Cincinnati Reds",99,2017821
1973,"New York Mets",82,1914695
1973,"Detroit Tigers",85,1724146
1973,"St. Louis Cardinals",81,1573906
1973,"Boston Red Sox",89,1483301
1973,"Philadelphia Phillies",71,1475932
1973,"Houston Astros",82,1393998
1973,"Chicago Cubs",77,1351971
1973,"Kansas City Royals",88,1345441
1973,"Pittsburgh Pirates",80,1318558
1973,"Chicago White Sox",77,1315260
1973,"New York Yankees",80,1262039
1973,"Montreal Expos",79,1246863
1973,"Milwaukee Brewers",74,1092244
1973,"California Angels",79,1057631
1973,"Oakland Athletics",94,1000045
1973,"Baltimore Orioles",97,960307
1973,"Minnesota Twins",81,907499
1973,"San Francisco Giants",88,834415
1973,"Atlanta Braves",76,802848
1973,"Texas Rangers",57,686162
1973,"San Diego Padres",60,612005
1973,"Cleveland Indians",71,605066
1972,"New York Mets",83,2134194
1972,"Detroit Tigers",86,1938791
1972,"Los Angeles Dodgers",85,1860498
1972,"Cincinnati Reds",95,1628077
1972,"Pittsburgh Pirates",96,1520969
1972,"Philadelphia Phillies",59,1481637
1972,"Houston Astros",84,1464244
1972,"Boston Red Sox",85,1423484
1972,"Chicago Cubs",85,1330571
1972,"Chicago White Sox",87,1198654
1972,"St. Louis Cardinals",75,1196894
1972,"Montreal Expos",70,1149506
1972,"New York Yankees",79,967715
1972,"Oakland Athletics",93,927544
1972,"Baltimore Orioles",80,924245
1972,"Minnesota Twins",77,807571
1972,"Atlanta Braves",70,761542
1972,"Cleveland Indians",72,759774
1972,"California Angels",75,736804
1972,"Kansas City Royals",76,717082
1972,"Texas Rangers",54,667287
1972,"San Francisco Giants",69,645578
1972,"San Diego Padres",58,643273
1972,"Milwaukee Brewers",65,600419
1971,"New York Mets",83,2313931
1971,"Los Angeles Dodgers",89,2064549
1971,"Chicago Cubs",83,1653007
1971,"Boston Red Sox",85,1630612
1971,"St. Louis Cardinals",90,1604431
1971,"Detroit Tigers",91,1591037
1971,"Pittsburgh Pirates",97,1540368
1971,"Philadelphia Phillies",67,1511073
1971,"Cincinnati Reds",79,1501125
1971,"Montreal Expos",71,1293053
1971,"Houston Astros",79,1260897
1971,"San Francisco Giants",90,1119834
1971,"New York Yankees",82,1074518
1971,"Baltimore Orioles",101,1033035
1971,"Atlanta Braves",82,1006320
1971,"Minnesota Twins",74,940848
1971,"California Angels",76,926253
1971,"Kansas City Royals",85,910784
1971,"Oakland Athletics",101,907835
1971,"Chicago White Sox",79,832388
1971,"Milwaukee Brewers",69,731533
1971,"Washington Senators",63,655156
1971,"Cleveland Indians",60,591298
1971,"San Diego Padres",61,549075
1970,"New York Mets",83,2697456
1970,"Los Angeles Dodgers",87,1697141
1970,"Chicago Cubs",84,1642523
1970,"St. Louis Cardinals",76,1627777
1970,"Boston Red Sox",87,1594593
1970,"Detroit Tigers",79,1481364
1970,"Montreal Expos",73,1424449
1970,"Minnesota Twins",98,1251138
1970,"Houston Astros",79,1247444
1970,"Cincinnati Reds",102,1245302
1970,"New York Yankees",93,1136873
1970,"California Angels",86,1098557
1970,"Atlanta Braves",76,1078800
1970,"Baltimore Orioles",108,1027904
1970,"Pittsburgh Pirates",89,955100
1970,"Milwaukee Brewers",65,935496
1970,"Washington Senators",70,824750
1970,"Oakland Athletics",89,778436
1970,"San Francisco Giants",86,740404
1970,"Cleveland Indians",76,728209
1970,"Philadelphia Phillies",73,708247
1970,"Kansas City Royals",65,692986
1970,"San Diego Padres",63,633369
1970,"Cincinnati Reds",102,566928
1970,"Chicago White Sox",56,494411
1970,"Pittsburgh Pirates",89,386907
1969,"New York Mets",100,2192091
1969,"Boston Red Sox",87,1837449
1969,"Los Angeles Dodgers",85,1794527
1969,"St. Louis Cardinals",87,1682673
1969,"Chicago Cubs",92,1674953
1969,"Detroit Tigers",90,1584063
1969,"Atlanta Braves",93,1501047
1969,"Houston Astros",81,1442995
1969,"Minnesota Twins",97,1319387
1969,"Montreal Expos",52,1213277
1969,"New York Yankees",80,1077387
1969,"Baltimore Orioles",109,1012368
1969,"Cincinnati Reds",89,987991
1969,"Washington Senators",86,914227
1969,"Kansas City Royals",69,902380
1969,"San Francisco Giants",90,873603
1969,"Oakland Athletics",88,778395
1969,"Pittsburgh Pirates",88,769349
1969,"California Angels",71,758728
1969,"Seattle Pilots",64,668215
1969,"Cleveland Indians",62,628942
1969,"San Diego Padres",52,626847
1969,"Philadelphia Phillies",63,519401
1969,"Chicago White Sox",68,394865
1969,"Chicago White Sox",68,198211
1968,"Detroit Tigers",103,2032257
1968,"St. Louis Cardinals",97,2011567
1968,"Boston Red Sox",86,1882655
1968,"New York Mets",73,1781657
1968,"Los Angeles Dodgers",76,1581093
1968,"Houston Astros",72,1326718
1968,"Atlanta Braves",81,1146398
1968,"Minnesota Twins",79,1141103
1968,"New York Yankees",83,1124049
1968,"Chicago Cubs",84,1043409
1968,"California Angels",67,1025956
1968,"Baltimore Orioles",91,876084
1968,"Oakland Athletics",82,857017
1968,"Cleveland Indians",86,856815
1968,"San Francisco Giants",88,837224
1968,"Cincinnati Reds",83,733354
1968,"Pittsburgh Pirates",80,693386
1968,"Philadelphia Phillies",76,668040
1968,"Washington Senators",65,541282
1968,"Chicago White Sox",67,537050
1968,"Chicago White Sox",67,264297
1967,"St. Louis Cardinals",101,2089645
1967,"Boston Red Sox",92,1694362
1967,"Los Angeles Dodgers",73,1665034
1967,"New York Mets",61,1565500
1967,"Minnesota Twins",91,1481259
1967,"Detroit Tigers",91,1458411
1967,"Atlanta Braves",77,1379214
1967,"Houston Astros",69,1348285
1967,"California Angels",84,1318067
1967,"San Francisco Giants",91,1242500
1967,"New York Yankees",72,1142656
1967,"Chicago White Sox",89,986471
1967,"Chicago Cubs",87,977226
1967,"Cincinnati Reds",87,957700
1967,"Pittsburgh Pirates",81,909012
1967,"Baltimore Orioles",76,854902
1967,"Philadelphia Phillies",82,825512
1967,"Washington Senators",76,765788
1967,"Cleveland Indians",75,666463
1967,"Kansas City Athletics",62,660747
1966,"Los Angeles Dodgers",95,2617056
1966,"New York Mets",66,1933834
1966,"Houston Astros",72,1878398
1966,"San Francisco Giants",93,1657192
1966,"St. Louis Cardinals",83,1590563
1966,"Atlanta Braves",85,1539796
1966,"California Angels",80,1407756
1966,"Minnesota Twins",89,1259556
1966,"New York Yankees",70,1224803
1966,"Baltimore Orioles",97,1203424
1966,"Pittsburgh Pirates",92,1196618
1966,"Detroit Tigers",88,1124294
1966,"Philadelphia Phillies",87,1108191
1966,"Chicago White Sox",83,973770
1966,"Cleveland Indians",81,920251
1966,"Boston Red Sox",72,815197
1966,"Kansas City Athletics",74,773599
1966,"Cincinnati Reds",76,745156
1966,"Chicago Cubs",59,635890
1966,"Washington Senators",71,589817
1966,"St. Louis Cardinals",83,122157
1965,"Los Angeles Dodgers",97,2560648
1965,"Houston Astros",65,2151470
1965,"New York Mets",50,1755366
1965,"San Francisco Giants",95,1546066
1965,"Minnesota Twins",102,1463288
1965,"New York Yankees",77,1304296
1965,"St. Louis Cardinals",80,1234891
1965,"Philadelphia Phillies",85,1166099
1965,"Chicago White Sox",95,1133319
1965,"Cincinnati Reds",89,1048540
1965,"Detroit Tigers",89,1029735
1965,"Cleveland Indians",87,962727
1965,"Pittsburgh Pirates",90,916743
1965,"Baltimore Orioles",94,784803
1965,"Boston Red Sox",62,651761
1965,"Chicago Cubs",72,632788
1965,"California Angels",75,570253
1965,"Washington Senators",70,562913
1965,"Milwaukee Braves",86,555668
1965,"Kansas City Athletics",59,523276
1964,"Los Angeles Dodgers",80,2234498
1964,"New York Mets",53,1734389
1964,"San Francisco Giants",90,1503544
1964,"Philadelphia Phillies",92,1425972
1964,"New York Yankees",99,1305638
1964,"Chicago White Sox",98,1249413
1964,"Minnesota Twins",79,1207508
1964,"St. Louis Cardinals",93,1142667
1964,"Baltimore Orioles",97,1126449
1964,"Milwaukee Braves",88,912022
1964,"Boston Red Sox",72,883279
1964,"Cincinnati Reds",92,863670
1964,"Detroit Tigers",85,815921
1964,"Los Angeles Angels",82,760611
1964,"Pittsburgh Pirates",80,759498
1964,"Chicago Cubs",76,751639
1964,"Houston Colt .45's",66,726155
1964,"Cleveland Indians",79,653293
1964,"Kansas City Athletics",57,635465
1964,"Washington Senators",62,595271
1963,"Los Angeles Dodgers",99,2538659
1963,"San Francisco Giants",88,1570924
1963,"New York Yankees",104,1460537
1963,"Minnesota Twins",91,1406627
1963,"Chicago White Sox",94,1179117
1963,"St. Louis Cardinals",93,1169364
1963,"New York Mets",51,1077322
1963,"Chicago Cubs",82,993515
1963,"Boston Red Sox",76,942729
1963,"Philadelphia Phillies",87,908149
1963,"Cincinnati Reds",86,858708
